frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
1,7,0.56,1.78,558.93,0.3,0.0087,0,0,0,0,16,61,on_bump
2,8,0.681,2.43,120.64,0.3,0.0174,0,0,0,0,16,63,on_bump
3,10,0.944,2.57,98.07,0.3,0.0261,0,0,0,0,16,62,on_bump
4,11,1.074,3.09,128.19,0.3,0.0348,0,0,0,0,16,64,
5,13,1.42,3.07,175.42,0.3,-0.0264,0,0,0,0,16,64,on_bump
6,14,1.64,3.21,214.75,0.3,-0.0177,0,0,0,0,16,63,on_bump
7,16,2.002,3.17,155.26,0.3,-0.009,0,0,0,0,16,66,on_bump
8,17,2.117,3.72,115.15,0.3,-0.0003,0,0,0,0,16,66,on_bump
9,19,2.386,3.72,111.35,0.3,0.0084,0,0,0,0,16,64,on_bump
10,20,2.473,4.5,86.51,0.3,0.0171,0,0,0,0,16,64,on_bump
11,22,2.684,4.52,79.33,0.3,0.0258,0,0,0,0,16,63,on_bump
12,23,2.758,5.41,74.38,0.3,0.0345,0,0,0,0,16,64,
13,43,4.731,4.92,1856.15,0.3,-0.0266,0,0,0,0,16,65,
14,44,4.88,5.1,148.43,0.3,-0.0179,0,0,0,0,16,64,on_bump
15,45,5.065,5.13,68.03,0.3,-0.0092,0,0,0,0,16,64,
16,46,5.144,5.88,79.04,0.3,-0.0006,0,0,0,0,16,64,
17,47,5.317,5.87,53.58,0.3,0.0081,0,0,0,0,16,69,
18,48,5.394,6.58,77.16,0.3,0.0168,0,0,0,0,16,66,
19,50,5.607,6.39,95.39,0.3,0.0255,0,0,0,0,16,69,
20,51,5.69,6.96,82.09,0.3,0.0342,0,0,0,0,16,66,
21,53,5.881,6.79,80.75,0.3,-0.0269,0,0,0,0,16,70,
22,53,5.954,7.48,72.79,0.3,-0.0182,0,0,0,0,16,70,
23,55,6.195,7.15,117.35,0.3,-0.0095,0,0,0,0,16,70,
24,56,6.331,7.17,135.9,0.3,-0.0008,0,0,0,0,16,70,
25,58,6.627,6.79,132.93,0.3,0.0079,0,0,0,0,16,70,
26,59,6.732,7.06,105.34,0.3,0.0166,0,0,0,0,16,70,
27,61,6.92,6.88,72.79,0.3,0.0252,0,0,0,0,16,70,on_bump
28,61,7.005,7.38,84.05,0.3,0.0339,0,0,0,0,16,70,on_bump
29,63,7.192,7.18,73.51,0.3,-0.0272,0,0,0,0,16,70,on_bump
30,63,7.249,8.21,56.79,0.3,-0.0185,0,0,0,0,16,70,on_bump
