frame,cam_frame,time_s,fps,latency_ms,v_cmd,omega_cmd,x,y,yaw_deg,v_meas,dist_goal,n_ob,bump
1,8,0.618,1.62,617.26,0.3,0.0087,0,0,0,0,16,61,
2,9,0.743,2.25,124.98,0.3,0.0174,0,0,0,0,16,62,
3,11,0.99,2.43,88.93,0.3,0.0261,0,0,0,0,16,60,
4,12,1.102,3.08,111.78,0.3,0.0348,0,0,0,0,16,62,
5,14,1.372,3.15,93.84,0.3,-0.0264,0,0,0,0,16,60,
6,15,1.486,3.71,113.61,0.3,-0.0177,0,0,0,0,16,62,
7,17,1.73,3.75,92.32,0.3,-0.009,0,0,0,0,16,62,
8,18,1.822,4.45,92.56,0.3,-0.0003,0,0,0,0,16,61,
9,19,2.015,4.53,79.03,0.3,0.0084,0,0,0,0,16,63,
10,20,2.092,5.37,76.71,0.3,0.0171,0,0,0,0,16,63,
11,22,2.306,5.3,87.3,0.3,0.0258,0,0,0,0,16,62,
12,23,2.389,5.97,83.32,0.3,0.0345,0,0,0,0,16,60,
13,25,2.583,5.89,74.09,0.3,-0.0266,0,0,0,0,16,61,
14,26,2.652,6.74,69.19,0.3,-0.0179,0,0,0,0,16,62,
15,27,2.833,6.62,73.3,0.3,-0.0092,0,0,0,0,16,61,
16,28,2.911,7.24,78.01,0.3,-0.0006,0,0,0,0,16,64,
17,30,3.108,7.02,76.96,0.3,0.0081,0,0,0,0,16,61,
18,30,3.172,7.88,64.01,0.3,0.0168,0,0,0,0,16,62,
19,32,3.358,7.63,73.55,0.3,0.0255,0,0,0,0,16,61,
20,33,3.435,8.18,76.11,0.3,0.0342,0,0,0,0,16,61,
21,35,3.62,7.9,66.43,0.3,-0.0269,0,0,0,0,16,63,
22,35,3.678,8.82,58.18,0.3,-0.0182,0,0,0,0,16,62,
23,37,3.867,8.46,72.33,0.3,-0.0095,0,0,0,0,16,61,
24,38,3.936,9.06,69.17,0.3,-0.0008,0,0,0,0,16,62,
25,39,4.123,8.69,81.16,0.3,0.0079,0,0,0,0,16,64,
26,40,4.206,9.03,82.62,0.3,0.0166,0,0,0,0,16,64,
27,42,4.39,8.67,69.53,0.3,0.0252,0,0,0,0,16,61,
